year,instance,predicted_class,true_class,test
1990,safe,+care,+care,categorization
1990,peace,+authority,+care,categorization
1990,compassion,-sanctity,+care,categorization
1990,sympathy,-sanctity,+care,categorization
1990,care,+care,+care,categorization
1990,caring,+loyalty,+care,categorization
1990,protect,+care,+care,categorization
1990,protection,+care,+care,categorization
1990,shield,-sanctity,+care,categorization
1990,shelter,+care,+care,categorization
1990,secure,+care,+care,categorization
1990,benefit,+fairness,+care,categorization
1990,defend,+authority,+care,categorization
1990,defender,-sanctity,+care,categorization
1990,guard,+authority,+care,categorization
1990,preserve,+sanctity,+care,categorization
1990,fair,+fairness,+fairness,categorization
1990,fairly,+fairness,+fairness,categorization
1990,fairness,+authority,+fairness,categorization
1990,equal,+fairness,+fairness,categorization
1990,justice,+authority,+fairness,categorization
1990,justification,-fairness,+fairness,categorization
1990,rights,+authority,+fairness,categorization
1990,equity,+loyalty,+fairness,categorization
1990,equivalent,+authority,+fairness,categorization
1990,tolerant,-fairness,+fairness,categorization
1990,balance,+authority,+fairness,categorization
1990,reasonable,+fairness,+fairness,categorization
1990,constant,+authority,+fairness,categorization
1990,honest,+authority,+fairness,categorization
1990,nation,+authority,+loyalty,categorization
1990,family,+loyalty,+loyalty,categorization
1990,families,+authority,+loyalty,categorization
1990,group,+loyalty,+loyalty,categorization
1990,loyal,+authority,+loyalty,categorization
1990,patriot,-authority,+loyalty,categorization
1990,communal,+sanctity,+loyalty,categorization
1990,community,+loyalty,+loyalty,categorization
1990,companion,-authority,+loyalty,categorization
1990,comrades,-sanctity,+loyalty,categorization
1990,collective,-authority,+loyalty,categorization
1990,joint,+authority,+loyalty,categorization
1990,unison,-sanctity,+loyalty,categorization
1990,fellow,+authority,+loyalty,categorization
1990,guild,+authority,+loyalty,categorization
1990,solidarity,-fairness,+loyalty,categorization
1990,devote,+authority,+loyalty,categorization
1990,member,+loyalty,+loyalty,categorization
1990,ally,+authority,+loyalty,categorization
1990,preserve,+care,+authority,categorization
1990,loyal,+loyalty,+authority,categorization
1990,obedience,+authority,+authority,categorization
1990,obey,+authority,+authority,categorization
1990,duty,+authority,+authority,categorization
1990,law,+authority,+authority,categorization
1990,legal,+authority,+authority,categorization
1990,duties,+authority,+authority,categorization
1990,award,+loyalty,+authority,categorization
1990,honor,+authority,+authority,categorization
1990,respect,+authority,+authority,categorization
1990,respectful,+sanctity,+authority,categorization
1990,respected,+loyalty,+authority,categorization
1990,respects,-sanctity,+authority,categorization
1990,order,+authority,+authority,categorization
1990,father,+authority,+authority,categorization
1990,mother,+sanctity,+authority,categorization
1990,mothers,-care,+authority,categorization
1990,tradition,+sanctity,+authority,categorization
1990,hierarchy,+sanctity,+authority,categorization
1990,authority,+authority,+authority,categorization
1990,permit,+authority,+authority,categorization
1990,permission,+authority,+authority,categorization
1990,rank,+authority,+authority,categorization
1990,leader,+loyalty,+authority,categorization
1990,lead,-care,+authority,categorization
1990,class,+authority,+authority,categorization
1990,position,+authority,+authority,categorization
1990,compliance,+authority,+authority,categorization
1990,command,+authority,+authority,categorization
1990,control,+authority,+authority,categorization
1990,submission,-fairness,+authority,categorization
1990,submit,+authority,+authority,categorization
1990,commit,-care,+authority,categorization
1990,allegiance,-authority,+authority,categorization
1990,serve,+authority,+authority,categorization
1990,fear,-care,+authority,categorization
1990,comply,+authority,+authority,categorization
1990,preserve,+care,+sanctity,categorization
1990,purity,-sanctity,+sanctity,categorization
1990,pure,+sanctity,+sanctity,categorization
1990,clean,+care,+sanctity,categorization
1990,sacred,+sanctity,+sanctity,categorization
1990,holy,+sanctity,+sanctity,categorization
1990,saint,+authority,+sanctity,categorization
1990,virgin,+sanctity,+sanctity,categorization
1990,integrity,+loyalty,+sanctity,categorization
1990,modesty,-fairness,+sanctity,categorization
1990,upright,-sanctity,+sanctity,categorization
1990,maiden,-sanctity,+sanctity,categorization
1990,refined,-sanctity,+sanctity,categorization
1990,decent,+care,+sanctity,categorization
1990,decency,-fairness,+sanctity,categorization
1990,innocent,-care,+sanctity,categorization
1990,church,+authority,+sanctity,categorization
1990,harm,-care,-care,categorization
1990,suffer,-care,-care,categorization
1990,war,-care,-care,categorization
1990,wars,-care,-care,categorization
1990,fight,-care,-care,categorization
1990,battle,-care,-care,categorization
1990,violence,-care,-care,categorization
1990,violent,-care,-care,categorization
1990,hurt,-care,-care,categorization
1990,kill,-care,-care,categorization
1990,kills,-sanctity,-care,categorization
1990,killed,-care,-care,categorization
1990,killing,-care,-care,categorization
1990,cruel,-sanctity,-care,categorization
1990,brutal,-sanctity,-care,categorization
1990,abuse,-care,-care,categorization
1990,damage,-care,-care,categorization
1990,ruin,-sanctity,-care,categorization
1990,crush,-sanctity,-care,categorization
1990,attack,-care,-care,categorization
1990,destroy,-care,-care,categorization
1990,abandon,-loyalty,-care,categorization
1990,exploit,-sanctity,-care,categorization
1990,exploited,-sanctity,-care,categorization
1990,wound,-sanctity,-care,categorization
1990,unfair,-sanctity,-fairness,categorization
1990,bias,-fairness,-fairness,categorization
1990,injustice,-fairness,-fairness,categorization
1990,discrimination,+authority,-fairness,categorization
1990,prejudice,-sanctity,-fairness,categorization
1990,preference,+authority,-fairness,categorization
1990,exclusion,+loyalty,-fairness,categorization
1990,exclusive,+loyalty,-fairness,categorization
1990,exclude,+authority,-fairness,categorization
1990,abandon,-care,-loyalty,categorization
1990,foreign,+authority,-loyalty,categorization
1990,enemy,-care,-loyalty,categorization
1990,betray,-authority,-loyalty,categorization
1990,individual,+fairness,-loyalty,categorization
1990,deserted,-authority,-loyalty,categorization
1990,desert,-authority,-loyalty,categorization
1990,deception,-fairness,-loyalty,categorization
1990,spy,-sanctity,-loyalty,categorization
1990,betray,-sanctity,-authority,categorization
1990,deserted,-loyalty,-authority,categorization
1990,desert,-loyalty,-authority,categorization
1990,defiance,-authority,-authority,categorization
1990,rebel,+authority,-authority,categorization
1990,dissent,-fairness,-authority,categorization
1990,agitated,-sanctity,-authority,categorization
1990,illegal,-care,-authority,categorization
1990,oppose,-authority,-authority,categorization
1990,protest,-care,-authority,categorization
1990,refuse,+authority,-authority,categorization
1990,riot,+loyalty,-authority,categorization
