year,instance,predicted_class,true_class,test
1990,compassion,+care,+care,categorization
1990,kindness,+care,+care,categorization
1990,generosity,+care,+care,categorization
1990,benevolence,+care,+care,categorization
1990,compassionate,+care,+care,categorization
1990,gentleness,+care,+care,categorization
1990,sympathy,+care,+care,categorization
1990,love,+care,+care,categorization
1990,beneficence,+authority,+care,categorization
1990,loving,+care,+care,categorization
1990,pity,-care,+care,categorization
1990,mercy,+sanctity,+care,categorization
1990,merciful,+sanctity,+care,categorization
1990,benevolent,+care,+care,categorization
1990,cared,+care,+care,categorization
1990,healing,+sanctity,+care,categorization
1990,humane,+care,+care,categorization
1990,comfort,+care,+care,categorization
1990,pitied,-care,+care,categorization
1990,loved,+care,+care,categorization
1990,cares,+care,+care,categorization
1990,comforted,+care,+care,categorization
1990,care,+care,+care,categorization
1990,heal,+care,+care,categorization
1990,generous,+care,+care,categorization
1990,charitable,+care,+care,categorization
1990,generously,+care,+care,categorization
1990,help,+care,+care,categorization
1990,solace,+care,+care,categorization
1990,mother,+care,+care,categorization
1990,hospitality,+care,+care,categorization
1990,charity,+care,+care,categorization
1990,mothers,+care,+care,categorization
1990,child,+care,+care,categorization
1990,loves,+care,+care,categorization
1990,clothe,+sanctity,+care,categorization
1990,helping,+care,+care,categorization
1990,shared,+care,+care,categorization
1990,childhood,+care,+care,categorization
1990,lover,+care,+care,categorization
1990,hospitable,+care,+care,categorization
1990,feeding,+care,+care,categorization
1990,protector,+authority,+care,categorization
1990,protect,+authority,+care,categorization
1990,patient,+care,+care,categorization
1990,nurse,+care,+care,categorization
1990,benefit,+care,+care,categorization
1990,feed,+care,+care,categorization
1990,protecting,+care,+care,categorization
1990,relief,-care,+care,categorization
1990,healed,+sanctity,+care,categorization
1990,rescued,-care,+care,categorization
1990,patients,-sanctity,+care,categorization
1990,share,+care,+care,categorization
1990,rescue,-care,+care,categorization
1990,healthy,+care,+care,categorization
1990,nursery,+care,+care,categorization
1990,sharing,+care,+care,categorization
1990,helps,+care,+care,categorization
1990,wounded,-care,+care,categorization
1990,wounds,-care,+care,categorization
1990,alleviate,-care,+care,categorization
1990,protection,+authority,+care,categorization
1990,health,+care,+care,categorization
1990,relieve,+care,+care,categorization
1990,safety,+care,+care,categorization
1990,helped,+care,+care,categorization
1990,hospital,+care,+care,categorization
1990,benefits,+care,+care,categorization
1990,feeds,-sanctity,+care,categorization
1990,relieving,-care,+care,categorization
1990,safe,+care,+care,categorization
1990,safely,+fairness,+care,categorization
1990,shares,+fairness,+care,categorization
1990,relieved,+care,+care,categorization
1990,console,+care,+care,categorization
1990,protected,+authority,+care,categorization
1990,wound,-care,+care,categorization
1990,equality,+fairness,+fairness,categorization
1990,justice,+fairness,+fairness,categorization
1990,rights,+authority,+fairness,categorization
1990,equitable,+fairness,+fairness,categorization
1990,impartiality,+sanctity,+fairness,categorization
1990,equal,+fairness,+fairness,categorization
1990,fair,+fairness,+fairness,categorization
1990,integrity,-care,+fairness,categorization
1990,impartial,+fairness,+fairness,categorization
1990,honesty,+care,+fairness,categorization
1990,law,+authority,+fairness,categorization
1990,justness,+sanctity,+fairness,categorization
1990,parity,+fairness,+fairness,categorization
1990,justices,+authority,+fairness,categorization
1990,laws,+authority,+fairness,categorization
1990,tribunals,+authority,+fairness,categorization
1990,retribution,-sanctity,+fairness,categorization
1990,reparation,-care,+fairness,categorization
