year,instance,predicted_class,true_class,test
1990,safe,-authority,+care,categorization
1990,peace,+authority,+care,categorization
1990,compassion,-authority,+care,categorization
1990,sympathy,-authority,+care,categorization
1990,care,+loyalty,+care,categorization
1990,caring,-authority,+care,categorization
1990,protect,-authority,+care,categorization
1990,protection,+fairness,+care,categorization
1990,shield,-authority,+care,categorization
1990,shelter,-fairness,+care,categorization
1990,secure,+care,+care,categorization
1990,benefit,-sanctity,+care,categorization
1990,defend,-sanctity,+care,categorization
1990,defender,-sanctity,+care,categorization
1990,guard,+loyalty,+care,categorization
1990,preserve,+care,+care,categorization
1990,fair,+loyalty,+fairness,categorization
1990,fairly,-authority,+fairness,categorization
1990,fairness,-authority,+fairness,categorization
1990,equal,+authority,+fairness,categorization
1990,justice,+authority,+fairness,categorization
1990,justification,-fairness,+fairness,categorization
1990,rights,+authority,+fairness,categorization
1990,equity,+fairness,+fairness,categorization
1990,equivalent,-authority,+fairness,categorization
1990,tolerant,-authority,+fairness,categorization
1990,balance,-loyalty,+fairness,categorization
1990,reasonable,-sanctity,+fairness,categorization
1990,constant,-sanctity,+fairness,categorization
1990,honest,+authority,+fairness,categorization
1990,nation,+authority,+loyalty,categorization
1990,family,+authority,+loyalty,categorization
1990,families,-loyalty,+loyalty,categorization
1990,group,-authority,+loyalty,categorization
1990,loyal,-fairness,+loyalty,categorization
1990,patriot,-authority,+loyalty,categorization
1990,communal,-authority,+loyalty,categorization
1990,community,-loyalty,+loyalty,categorization
1990,companion,-sanctity,+loyalty,categorization
1990,comrades,-authority,+loyalty,categorization
1990,collective,-authority,+loyalty,categorization
1990,joint,-authority,+loyalty,categorization
1990,unison,-authority,+loyalty,categorization
1990,fellow,+loyalty,+loyalty,categorization
1990,guild,-authority,+loyalty,categorization
1990,solidarity,-authority,+loyalty,categorization
1990,devote,-sanctity,+loyalty,categorization
1990,member,+authority,+loyalty,categorization
1990,ally,-fairness,+loyalty,categorization
1990,preserve,+care,+authority,categorization
1990,loyal,-fairness,+authority,categorization
1990,obedience,+fairness,+authority,categorization
1990,obey,-loyalty,+authority,categorization
1990,duty,+authority,+authority,categorization
1990,law,+sanctity,+authority,categorization
1990,legal,-fairness,+authority,categorization
1990,duties,+fairness,+authority,categorization
1990,award,-authority,+authority,categorization
1990,honor,-sanctity,+authority,categorization
1990,respect,+authority,+authority,categorization
1990,respectful,-authority,+authority,categorization
1990,respected,-authority,+authority,categorization
1990,respects,-fairness,+authority,categorization
1990,order,+authority,+authority,categorization
1990,father,+authority,+authority,categorization
1990,mother,+authority,+authority,categorization
1990,mothers,-authority,+authority,categorization
1990,tradition,-fairness,+authority,categorization
1990,hierarchy,-authority,+authority,categorization
1990,authority,+authority,+authority,categorization
1990,permit,-sanctity,+authority,categorization
1990,permission,-loyalty,+authority,categorization
1990,rank,+authority,+authority,categorization
1990,leader,-authority,+authority,categorization
1990,lead,+loyalty,+authority,categorization
1990,class,+fairness,+authority,categorization
1990,position,-loyalty,+authority,categorization
1990,compliance,-authority,+authority,categorization
1990,command,+authority,+authority,categorization
1990,control,-authority,+authority,categorization
1990,submission,-fairness,+authority,categorization
1990,submit,-loyalty,+authority,categorization
1990,commit,-sanctity,+authority,categorization
1990,allegiance,-loyalty,+authority,categorization
1990,serve,+care,+authority,categorization
1990,fear,+authority,+authority,categorization
1990,comply,-authority,+authority,categorization
1990,preserve,+care,+sanctity,categorization
1990,purity,+loyalty,+sanctity,categorization
1990,pure,+loyalty,+sanctity,categorization
1990,clean,-sanctity,+sanctity,categorization
1990,sacred,-loyalty,+sanctity,categorization
1990,holy,+authority,+sanctity,categorization
1990,saint,+loyalty,+sanctity,categorization
1990,virgin,+loyalty,+sanctity,categorization
1990,integrity,-sanctity,+sanctity,categorization
1990,modesty,-authority,+sanctity,categorization
1990,upright,-authority,+sanctity,categorization
1990,maiden,-authority,+sanctity,categorization
1990,refined,-authority,+sanctity,categorization
1990,decent,-authority,+sanctity,categorization
1990,decency,-sanctity,+sanctity,categorization
1990,innocent,-sanctity,+sanctity,categorization
1990,church,+authority,+sanctity,categorization
1990,harm,-sanctity,-care,categorization
1990,suffer,-sanctity,-care,categorization
1990,war,+authority,-care,categorization
1990,wars,-care,-care,categorization
1990,fight,+loyalty,-care,categorization
1990,battle,+authority,-care,categorization
1990,violence,+loyalty,-care,categorization
1990,violent,-loyalty,-care,categorization
1990,hurt,-authority,-care,categorization
1990,kill,-sanctity,-care,categorization
1990,kills,-authority,-care,categorization
1990,killed,+authority,-care,categorization
1990,killing,-authority,-care,categorization
1990,cruel,-fairness,-care,categorization
1990,brutal,-authority,-care,categorization
1990,abuse,-fairness,-care,categorization
1990,damage,-fairness,-care,categorization
1990,ruin,-loyalty,-care,categorization
1990,crush,-authority,-care,categorization
1990,attack,+authority,-care,categorization
1990,destroy,-sanctity,-care,categorization
1990,abandon,-fairness,-care,categorization
1990,exploit,-authority,-care,categorization
1990,exploited,-authority,-care,categorization
1990,wound,-sanctity,-care,categorization
1990,unfair,-authority,-fairness,categorization
1990,bias,-authority,-fairness,categorization
1990,injustice,-sanctity,-fairness,categorization
1990,discrimination,-authority,-fairness,categorization
1990,prejudice,-sanctity,-fairness,categorization
1990,preference,+loyalty,-fairness,categorization
1990,exclusion,-authority,-fairness,categorization
1990,exclusive,-authority,-fairness,categorization
1990,exclude,-authority,-fairness,categorization
1990,abandon,-fairness,-loyalty,categorization
1990,foreign,+fairness,-loyalty,categorization
1990,enemy,+authority,-loyalty,categorization
1990,betray,-authority,-loyalty,categorization
1990,individual,-sanctity,-loyalty,categorization
1990,deserted,-authority,-loyalty,categorization
1990,desert,-authority,-loyalty,categorization
1990,deception,-authority,-loyalty,categorization
1990,spy,-authority,-loyalty,categorization
1990,betray,-authority,-authority,categorization
1990,deserted,-authority,-authority,categorization
1990,desert,-authority,-authority,categorization
1990,defiance,-fairness,-authority,categorization
