,year,instance,predicted_class,true_class,test
62,1990,serve,+care,+authority,categorization
87,1990,respect,+fairness,+authority,categorization
56,1990,leader,+loyalty,+authority,categorization
72,1990,respected,+loyalty,+authority,categorization
80,1990,mothers,+loyalty,+authority,categorization
83,1990,class,+loyalty,+authority,categorization
63,1990,mother,+sanctity,+authority,categorization
71,1990,reverence,+sanctity,+authority,categorization
90,1990,tradition,+sanctity,+authority,categorization
53,1990,commit,-care,+authority,categorization
55,1990,lead,-care,+authority,categorization
12,1990,benefit,+fairness,+care,categorization
0,1990,compassionate,+sanctity,+care,categorization
7,1990,compassion,+sanctity,+care,categorization
16,1990,peace,+sanctity,+care,categorization
2,1990,guard,-loyalty,+care,categorization
9,1990,sympathy,-sanctity,+care,categorization
35,1990,rights,+care,+fairness,categorization
31,1990,justness,-sanctity,+fairness,categorization
37,1990,devote,+authority,+loyalty,categorization
39,1990,unison,+sanctity,+loyalty,categorization
49,1990,patriot,+sanctity,+loyalty,categorization
110,1990,clean,+care,+sanctity,categorization
107,1990,innocent,-care,+sanctity,categorization
112,1990,abstain,-fairness,+sanctity,categorization
93,1990,sanctify,-sanctity,+sanctity,categorization
167,1990,refuse,+authority,-authority,categorization
166,1990,alienate,+care,-authority,categorization
161,1990,obstruct,-care,-authority,categorization
170,1990,illegal,-fairness,-authority,categorization
171,1990,disobedient,-sanctity,-authority,categorization
173,1990,lawless,-sanctity,-authority,categorization
177,1990,seditious,-sanctity,-authority,categorization
116,1990,detriment,+care,-care,categorization
126,1990,impair,+fairness,-care,categorization
121,1990,wars,-authority,-care,categorization
124,1990,brutal,-authority,-care,categorization
135,1990,violence,-authority,-care,categorization
139,1990,annihilate,-authority,-care,categorization
128,1990,abuse,-fairness,-care,categorization
120,1990,wound,-sanctity,-care,categorization
125,1990,kills,-sanctity,-care,categorization
147,1990,preference,+authority,-fairness,categorization
145,1990,bias,+fairness,-fairness,categorization
152,1990,exclusive,+fairness,-fairness,categorization
142,1990,unjust,-authority,-fairness,categorization
144,1990,injustice,-sanctity,-fairness,categorization
151,1990,disproportion,-sanctity,-fairness,categorization
158,1990,foreign,+fairness,-loyalty,categorization
153,1990,individual,+loyalty,-loyalty,categorization
154,1990,terror,-authority,-loyalty,categorization
155,1990,spy,-authority,-loyalty,categorization
156,1990,deception,-care,-loyalty,categorization
157,1990,enemy,-care,-loyalty,categorization
159,1990,deceive,-sanctity,-loyalty,categorization
194,1990,sick,+care,-sanctity,categorization
189,1990,stain,+sanctity,-sanctity,categorization
190,1990,profane,+sanctity,-sanctity,categorization
203,1990,whore,+sanctity,-sanctity,categorization
198,1990,repulse,-care,-sanctity,categorization
206,1990,disease,-care,-sanctity,categorization
200,1990,gross,-fairness,-sanctity,categorization
278,1990,amity,neutral,moral,null_test
293,1990,balance,neutral,moral,null_test
295,1990,equity,neutral,moral,null_test
296,1990,constant,neutral,moral,null_test
297,1990,reciprocal,neutral,moral,null_test
299,1990,fairly,neutral,moral,null_test
305,1990,equivalent,neutral,moral,null_test
307,1990,equal,neutral,moral,null_test
311,1990,collective,neutral,moral,null_test
313,1990,companion,neutral,moral,null_test
317,1990,member,neutral,moral,null_test
322,1990,together,neutral,moral,null_test
325,1990,group,neutral,moral,null_test
326,1990,joint,neutral,moral,null_test
330,1990,lead,neutral,moral,null_test
336,1990,command,neutral,moral,null_test
337,1990,serve,neutral,moral,null_test
339,1990,hierarchy,neutral,moral,null_test
341,1990,rank,neutral,moral,null_test
353,1990,position,neutral,moral,null_test
360,1990,award,neutral,moral,null_test
365,1990,tradition,neutral,moral,null_test
370,1990,church,neutral,moral,null_test
372,1990,virgin,neutral,moral,null_test
381,1990,saint,neutral,moral,null_test
384,1990,refined,neutral,moral,null_test
420,1990,bias,neutral,moral,null_test
422,1990,preference,neutral,moral,null_test
426,1990,disproportion,neutral,moral,null_test
427,1990,exclusive,neutral,moral,null_test
433,1990,foreign,neutral,moral,null_test
456,1990,dirt,neutral,moral,null_test
461,1990,profligate,neutral,moral,null_test
475,1990,gross,neutral,moral,null_test
208,1990,brazen,moral,neutral,null_test
209,1990,teeth,moral,neutral,null_test
214,1990,tempt,moral,neutral,null_test
215,1990,induce,moral,neutral,null_test
225,1990,principle,moral,neutral,null_test
232,1990,multitude,moral,neutral,null_test
235,1990,capricious,moral,neutral,null_test
237,1990,forge,moral,neutral,null_test
240,1990,pagan,moral,neutral,null_test
241,1990,invisible,moral,neutral,null_test
243,1990,circumstance,moral,neutral,null_test
245,1990,repose,moral,neutral,null_test
246,1990,piety,moral,neutral,null_test
247,1990,customary,moral,neutral,null_test
259,1990,preposterous,moral,neutral,null_test
260,1990,priesthood,moral,neutral,null_test
262,1990,ought,moral,neutral,null_test
599,1990,detriment,pos,neg,polarity
624,1990,exclusion,pos,neg,polarity
630,1990,preference,pos,neg,polarity
632,1990,unequal,pos,neg,polarity
635,1990,exclusive,pos,neg,polarity
636,1990,individual,pos,neg,polarity
641,1990,foreign,pos,neg,polarity
648,1990,dissent,pos,neg,polarity
649,1990,alienate,pos,neg,polarity
650,1990,refuse,pos,neg,polarity
654,1990,disobedient,pos,neg,polarity
658,1990,defiance,pos,neg,polarity
663,1990,prostitute,pos,neg,polarity
677,1990,sick,pos,neg,polarity
686,1990,whore,pos,neg,polarity
489,1990,shield,neg,pos,polarity
492,1990,sympathy,neg,pos,polarity
509,1990,justifies,neg,pos,polarity
510,1990,indifference,neg,pos,polarity
514,1990,justness,neg,pos,polarity
