year,instance,predicted_class,true_class,test
1990,safe,+care,+care,categorization
1990,peace,+sanctity,+care,categorization
1990,compassion,+care,+care,categorization
1990,sympathy,+loyalty,+care,categorization
1990,care,+care,+care,categorization
1990,caring,+care,+care,categorization
1990,protect,+care,+care,categorization
1990,protection,+care,+care,categorization
1990,shield,+care,+care,categorization
1990,shelter,+care,+care,categorization
1990,secure,+care,+care,categorization
1990,benefit,-care,+care,categorization
1990,defend,+care,+care,categorization
1990,defender,+authority,+care,categorization
1990,guard,-care,+care,categorization
1990,preserve,+sanctity,+care,categorization
1990,fair,+fairness,+fairness,categorization
1990,fairly,+fairness,+fairness,categorization
1990,fairness,+fairness,+fairness,categorization
1990,equal,+fairness,+fairness,categorization
1990,justice,+fairness,+fairness,categorization
1990,justification,+authority,+fairness,categorization
1990,rights,+authority,+fairness,categorization
1990,equity,+fairness,+fairness,categorization
1990,equivalent,+fairness,+fairness,categorization
1990,tolerant,+authority,+fairness,categorization
1990,balance,+authority,+fairness,categorization
1990,reasonable,+fairness,+fairness,categorization
1990,constant,+fairness,+fairness,categorization
1990,honest,+sanctity,+fairness,categorization
1990,nation,+loyalty,+loyalty,categorization
1990,family,+loyalty,+loyalty,categorization
1990,families,+loyalty,+loyalty,categorization
1990,group,+loyalty,+loyalty,categorization
1990,loyal,+authority,+loyalty,categorization
1990,patriot,+authority,+loyalty,categorization
1990,communal,+loyalty,+loyalty,categorization
1990,community,+loyalty,+loyalty,categorization
1990,companion,+loyalty,+loyalty,categorization
1990,comrades,+loyalty,+loyalty,categorization
1990,collective,+loyalty,+loyalty,categorization
1990,joint,+loyalty,+loyalty,categorization
1990,unison,-authority,+loyalty,categorization
1990,fellow,+loyalty,+loyalty,categorization
1990,guild,+loyalty,+loyalty,categorization
1990,solidarity,+loyalty,+loyalty,categorization
1990,devote,+authority,+loyalty,categorization
1990,member,+loyalty,+loyalty,categorization
1990,ally,+authority,+loyalty,categorization
1990,preserve,+care,+authority,categorization
1990,loyal,+loyalty,+authority,categorization
1990,obedience,+authority,+authority,categorization
1990,obey,+authority,+authority,categorization
1990,duty,+authority,+authority,categorization
1990,law,+authority,+authority,categorization
1990,legal,+fairness,+authority,categorization
1990,duties,+authority,+authority,categorization
1990,award,+authority,+authority,categorization
1990,honor,+authority,+authority,categorization
1990,respect,+authority,+authority,categorization
1990,respectful,+authority,+authority,categorization
1990,respected,+loyalty,+authority,categorization
1990,respects,+authority,+authority,categorization
1990,order,+authority,+authority,categorization
1990,father,+loyalty,+authority,categorization
1990,mother,+authority,+authority,categorization
1990,mothers,+loyalty,+authority,categorization
1990,tradition,+authority,+authority,categorization
1990,hierarchy,+authority,+authority,categorization
1990,authority,+authority,+authority,categorization
1990,permit,+authority,+authority,categorization
1990,permission,+authority,+authority,categorization
1990,rank,+authority,+authority,categorization
1990,leader,+loyalty,+authority,categorization
1990,lead,-care,+authority,categorization
1990,class,+loyalty,+authority,categorization
1990,position,+authority,+authority,categorization
1990,compliance,+authority,+authority,categorization
1990,command,+authority,+authority,categorization
1990,control,+authority,+authority,categorization
1990,submission,+authority,+authority,categorization
1990,submit,+authority,+authority,categorization
1990,commit,-care,+authority,categorization
1990,allegiance,+authority,+authority,categorization
1990,serve,+authority,+authority,categorization
1990,fear,-sanctity,+authority,categorization
1990,comply,+authority,+authority,categorization
1990,preserve,+care,+sanctity,categorization
1990,purity,+sanctity,+sanctity,categorization
1990,pure,+sanctity,+sanctity,categorization
1990,clean,+care,+sanctity,categorization
1990,sacred,+sanctity,+sanctity,categorization
1990,holy,+sanctity,+sanctity,categorization
1990,saint,+sanctity,+sanctity,categorization
1990,virgin,+sanctity,+sanctity,categorization
1990,integrity,+care,+sanctity,categorization
