year,instance,predicted_class,true_class,test
1990,safe,+fairness,+care,categorization
1990,peace,-care,+care,categorization
1990,compassion,-sanctity,+care,categorization
1990,sympathy,+loyalty,+care,categorization
1990,care,+care,+care,categorization
1990,caring,+loyalty,+care,categorization
1990,protect,-care,+care,categorization
1990,protection,+authority,+care,categorization
1990,shield,-sanctity,+care,categorization
1990,shelter,-fairness,+care,categorization
1990,secure,+care,+care,categorization
1990,benefit,+authority,+care,categorization
1990,defend,+care,+care,categorization
1990,defender,+authority,+care,categorization
1990,guard,+care,+care,categorization
1990,preserve,+authority,+care,categorization
1990,fair,+care,+fairness,categorization
1990,fairly,-fairness,+fairness,categorization
1990,fairness,+loyalty,+fairness,categorization
1990,equal,+sanctity,+fairness,categorization
1990,justice,+authority,+fairness,categorization
1990,justification,-fairness,+fairness,categorization
1990,rights,+authority,+fairness,categorization
1990,equity,+sanctity,+fairness,categorization
1990,equivalent,+authority,+fairness,categorization
1990,tolerant,+loyalty,+fairness,categorization
1990,balance,-care,+fairness,categorization
1990,reasonable,+sanctity,+fairness,categorization
1990,constant,-sanctity,+fairness,categorization
1990,honest,+sanctity,+fairness,categorization
1990,nation,+care,+loyalty,categorization
1990,family,+loyalty,+loyalty,categorization
1990,families,-fairness,+loyalty,categorization
1990,group,-care,+loyalty,categorization
1990,loyal,+authority,+loyalty,categorization
1990,patriot,-care,+loyalty,categorization
1990,communal,-care,+loyalty,categorization
1990,community,-loyalty,+loyalty,categorization
1990,companion,+authority,+loyalty,categorization
1990,comrades,+loyalty,+loyalty,categorization
1990,collective,+loyalty,+loyalty,categorization
1990,joint,-authority,+loyalty,categorization
1990,unison,+loyalty,+loyalty,categorization
1990,fellow,-care,+loyalty,categorization
1990,guild,+loyalty,+loyalty,categorization
1990,solidarity,+loyalty,+loyalty,categorization
1990,devote,-authority,+loyalty,categorization
1990,member,-fairness,+loyalty,categorization
1990,ally,+loyalty,+loyalty,categorization
1990,preserve,+care,+authority,categorization
1990,loyal,+loyalty,+authority,categorization
1990,obedience,+authority,+authority,categorization
1990,obey,+authority,+authority,categorization
1990,duty,+authority,+authority,categorization
1990,law,+fairness,+authority,categorization
1990,legal,+authority,+authority,categorization
1990,duties,+sanctity,+authority,categorization
1990,award,-fairness,+authority,categorization
1990,honor,+care,+authority,categorization
1990,respect,+care,+authority,categorization
1990,respectful,-loyalty,+authority,categorization
1990,respected,+sanctity,+authority,categorization
1990,respects,+sanctity,+authority,categorization
1990,order,+authority,+authority,categorization
1990,father,+authority,+authority,categorization
1990,mother,-care,+authority,categorization
1990,mothers,+loyalty,+authority,categorization
1990,tradition,+authority,+authority,categorization
1990,hierarchy,+fairness,+authority,categorization
1990,authority,+authority,+authority,categorization
1990,permit,-authority,+authority,categorization
1990,permission,+authority,+authority,categorization
1990,rank,+authority,+authority,categorization
1990,leader,-authority,+authority,categorization
1990,lead,+fairness,+authority,categorization
1990,class,-sanctity,+authority,categorization
1990,position,+care,+authority,categorization
1990,compliance,-fairness,+authority,categorization
1990,command,+care,+authority,categorization
1990,control,-fairness,+authority,categorization
1990,submission,+authority,+authority,categorization
