year,instance,predicted_class,true_class,test
1990,safe,+care,+care,categorization
1990,peace,-care,+care,categorization
1990,compassion,+sanctity,+care,categorization
1990,sympathy,+sanctity,+care,categorization
1990,care,+loyalty,+care,categorization
1990,caring,-loyalty,+care,categorization
1990,protect,+care,+care,categorization
1990,protection,+fairness,+care,categorization
1990,shield,+loyalty,+care,categorization
1990,shelter,+care,+care,categorization
1990,secure,+care,+care,categorization
1990,benefit,+fairness,+care,categorization
1990,defend,-care,+care,categorization
1990,defender,+authority,+care,categorization
1990,guard,+authority,+care,categorization
1990,preserve,+authority,+care,categorization
1990,fair,+fairness,+fairness,categorization
1990,fairly,+fairness,+fairness,categorization
1990,fairness,-authority,+fairness,categorization
1990,equal,+authority,+fairness,categorization
1990,justice,+authority,+fairness,categorization
1990,justification,+sanctity,+fairness,categorization
1990,rights,+authority,+fairness,categorization
1990,equity,+authority,+fairness,categorization
1990,equivalent,+fairness,+fairness,categorization
1990,tolerant,-loyalty,+fairness,categorization
1990,balance,+authority,+fairness,categorization
1990,reasonable,+care,+fairness,categorization
1990,constant,+authority,+fairness,categorization
1990,honest,+sanctity,+fairness,categorization
1990,nation,+authority,+loyalty,categorization
1990,family,+loyalty,+loyalty,categorization
1990,families,+loyalty,+loyalty,categorization
1990,group,+loyalty,+loyalty,categorization
1990,loyal,-loyalty,+loyalty,categorization
1990,patriot,-authority,+loyalty,categorization
1990,communal,+sanctity,+loyalty,categorization
1990,community,+loyalty,+loyalty,categorization
1990,companion,+sanctity,+loyalty,categorization
1990,comrades,-loyalty,+loyalty,categorization
1990,collective,-authority,+loyalty,categorization
1990,joint,+authority,+loyalty,categorization
1990,unison,+sanctity,+loyalty,categorization
1990,fellow,+authority,+loyalty,categorization
1990,guild,+loyalty,+loyalty,categorization
1990,solidarity,+sanctity,+loyalty,categorization
1990,devote,-loyalty,+loyalty,categorization
1990,member,+loyalty,+loyalty,categorization
1990,ally,-authority,+loyalty,categorization
1990,preserve,+care,+authority,categorization
1990,loyal,-loyalty,+authority,categorization
1990,obedience,+authority,+authority,categorization
1990,obey,-authority,+authority,categorization
1990,duty,+authority,+authority,categorization
1990,law,+authority,+authority,categorization
1990,legal,-authority,+authority,categorization
1990,duties,+sanctity,+authority,categorization
1990,award,+loyalty,+authority,categorization
1990,honor,+sanctity,+authority,categorization
1990,respect,+authority,+authority,categorization
1990,respectful,+sanctity,+authority,categorization
1990,respected,-authority,+authority,categorization
1990,respects,-loyalty,+authority,categorization
1990,order,+authority,+authority,categorization
1990,father,+sanctity,+authority,categorization
1990,mother,+authority,+authority,categorization
1990,mothers,+care,+authority,categorization
1990,tradition,+sanctity,+authority,categorization
1990,hierarchy,+sanctity,+authority,categorization
1990,authority,+authority,+authority,categorization
1990,permit,+authority,+authority,categorization
1990,permission,+authority,+authority,categorization
1990,rank,-authority,+authority,categorization
1990,leader,+loyalty,+authority,categorization
1990,lead,-care,+authority,categorization
1990,class,+loyalty,+authority,categorization
1990,position,+authority,+authority,categorization
1990,compliance,+authority,+authority,categorization
1990,command,+authority,+authority,categorization
1990,control,+authority,+authority,categorization
1990,submission,-loyalty,+authority,categorization
